flightNumber,airline,origin,destination,dayOfWeek,scheduledDepartureTime,scheduledArrivalTime,validFrom,validTo
5381,TestIndigo,Indore,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",17:00,,25-10-2020,26-03-2021
6815,TestIndigo,Chennai,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",13:10,15:15,25-10-2020,27-03-2021
5352,TestIndigo,Goa,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",19:40,,25-10-2020,27-03-2021
8001,TestIndigo,Kolkata,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",22:40,,29-03-2020,23-10-2020
5328,TestIndigo,Mangalore,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",12:30,14:05,29-03-2020,24-10-2020
2051,TestIndigo,Delhi,Visakhapatnam,"Monday,Wednesday,Friday",06:55,,27-10-2020,27-03-2021
5056,TestIndigo,Delhi,Amritsar,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",19:55,21:15,29-03-2020,24-10-2020
2056,TestIndigo,Delhi,Amritsar,"Wednesday,Thursday,Saturday",09:00,10:15,25-10-2020,26-03-2021
2166,TestIndigo,Delhi,Amritsar,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",20:05,,25-10-2020,27-03-2021
6844,TestIndigo,Bengaluru,Amritsar,"Sunday,Tuesday,Thursday,Saturday",07:00,,25-10-2020,27-03-2021
7325,TestIndigo,Guwahati,Imphal,Saturday,07:40,,29-03-2020,29-03-2020
7948,TestIndigo,Dibrugarh,Imphal,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",14:30,15:35,29-03-2020,24-10-2020
7331,TestIndigo,Tirupati,Rajahmundry,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",16:10,17:55,29-03-2020,24-10-2020
6494,TestIndigo,Delhi,Patna,Saturday,03:20,,25-10-2020,25-10-2020
2614,TestIndigo,Delhi,Patna,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",19:20,21:05,25-10-2020,27-03-2021
6851,TestIndigo,Ahmedabad,Patna,Saturday,15:10,,25-10-2020,21-03-2021
6838,TestIndigo,Bengaluru,Patna,"Monday,Tuesday,Thursday,Saturday",17:35,20:00,25-10-2020,27-03-2021
6928,TestIndigo,Guwahati,Patna,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",19:05,21:10,29-03-2020,24-10-2020
6758,TestIndigo,Chennai,Patna,"Sunday,Tuesday,Thursday,Saturday",12:20,15:05,25-10-2020,26-03-2021
7946,TestIndigo,Varanasi,Agra,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",10:10,11:50,29-03-2020,24-10-2020
7928,TestIndigo,Lucknow,Agra,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",09:00,10:45,29-03-2020,24-10-2020
6412,TestIndigo,Bengaluru,Jodhpur,"Wednesday,Friday",10:55,13:35,25-10-2020,27-03-2021
2071,TestIndigo,Delhi,Dehradun,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",15:50,16:40,25-10-2020,27-03-2021
7317,TestIndigo,Lucknow,Dehradun,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",16:30,18:10,29-03-2020,24-10-2020
5311,TestIndigo,Mumbai,Dehradun,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",13:05,15:30,29-03-2020,24-10-2020
6115,TestIndigo,Ahmedabad,Dehradun,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",09:40,,26-10-2020,26-03-2021
7927,TestIndigo,Allahabad,Dehradun,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",16:40,18:20,29-03-2020,24-10-2020
2257,TestIndigo,Delhi,Ahmedabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",06:30,08:40,25-10-2020,27-03-2021
2727,TestIndigo,Delhi,Ahmedabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",09:30,11:05,26-10-2020,27-03-2021
2298,TestIndigo,Delhi,Ahmedabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",16:20,17:55,25-10-2020,27-03-2021
7295,TestIndigo,Indore,Ahmedabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",13:00,,25-10-2020,28-02-2021
6066,TestIndigo,Hyderabad,Bengaluru,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",08:55,10:15,29-03-2020,24-10-2020
7639,TestIndigo,Hyderabad,Bengaluru,"Sunday,Tuesday,Thursday,Friday,Saturday",17:05,18:45,25-10-2020,27-03-2021
2175,TestIndigo,Delhi,Bengaluru,Monday,07:00,,27-10-2020,23-03-2021
8025,TestIndigo,Varanasi,Bengaluru,Saturday,06:55,,29-03-2020,29-03-2020
6892,TestIndigo,Bhubaneswar,Bengaluru,"Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday",02:10,,01-02-2021,27-03-2021
6345,TestIndigo,Kochi,Bengaluru,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",05:30,06:40,25-10-2020,27-03-2021
5354,TestIndigo,Mumbai,Bengaluru,"Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday",10:30,12:20,29-03-2020,24-10-2020
7239,TestIndigo,Visakhapatnam,Bengaluru,Monday,13:00,,31-03-2020,20-10-2020
6845,TestIndigo,Amritsar,Bengaluru,"Sunday,Tuesday,Thursday,Saturday",11:10,,25-10-2020,26-03-2021
6268,TestIndigo,Jaipur,Bengaluru,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",19:40,22:40,25-10-2020,27-03-2021
7332,TestIndigo,Tirupati,Bengaluru,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",20:10,21:10,29-03-2020,24-10-2020
6847,TestIndigo,Chennai,Bengaluru,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",10:00,10:55,25-10-2020,27-03-2021
7109,TestIndigo,Kannur,Bengaluru,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",20:00,20:55,25-10-2020,27-03-2021
8033,TestIndigo,Kolkata,Bengaluru,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",23:40,02:10,29-03-2020,24-10-2020
7353,TestIndigo,Hyderabad,Vijayawada,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",11:15,,25-10-2020,27-03-2021
7329,TestIndigo,Visakhapatnam,Vijayawada,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",05:30,,29-03-2020,24-10-2020
6242,TestIndigo,Hyderabad,Ranchi,"Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday",05:40,,29-03-2020,01-06-2020
6535,TestIndigo,Delhi,Ranchi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",17:55,,25-10-2020,27-03-2021
2063,TestIndigo,Delhi,Indore,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",18:45,,25-10-2020,27-03-2021
7319,TestIndigo,Lucknow,Indore,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",20:50,,29-03-2020,24-10-2020
5386,TestIndigo,Mumbai,Indore,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",07:35,09:00,29-03-2020,24-10-2020
7296,TestIndigo,Ahmedabad,Indore,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",14:40,15:45,26-10-2020,27-03-2021
7285,TestIndigo,Allahabad,Indore,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",09:30,11:40,29-03-2020,30-06-2020
6537,TestIndigo,Hyderabad,Vadodara,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",13:20,15:00,29-03-2020,24-10-2020
7286,TestIndigo,Indore,Allahabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",12:05,14:05,29-03-2020,30-06-2020
5984,TestIndigo,Pune,Allahabad,Friday,10:45,13:10,04-04-2020,24-10-2020
7983,TestIndigo,Kolkata,Allahabad,Saturday,07:00,,29-03-2020,29-03-2020
7294,TestIndigo,Hyderabad,Raipur,Saturday,08:05,,25-10-2020,25-10-2020
2151,TestIndigo,Delhi,Chandigarh,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",12:45,,25-10-2020,27-03-2021
6162,TestIndigo,Patna,Chandigarh,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",11:40,13:50,29-03-2020,24-10-2020
